"Name","I","i","C","P","M"
"Opossum",5,4,1,3,4
"Hairy tail mole",3,3,1,4,3
"Common mole",3,2,1,3,3
"Star nose mole",3,3,1,4,3
"Brown bat",2,3,1,3,3
"Silver hair bat",2,3,1,2,3
"Pigmy bat",2,3,1,2,3
"House bat",2,3,1,1,3
"Red bat",1,3,1,2,3
"Hoary bat",1,3,1,2,3
"Lump nose bat",2,3,1,2,3
"Armadillo",0,0,0,0,8
"Pika",2,1,0,2,3
"Snowshoe rabbit",2,1,0,3,3
"Beaver",1,1,0,2,3
"Marmot",1,1,0,2,3
"Groundhog",1,1,0,2,3
"Prairie Dog",1,1,0,2,3
"Ground Squirrel",1,1,0,2,3
"Chipmunk",1,1,0,2,3
"Gray squirrel",1,1,0,1,3
"Fox squirrel",1,1,0,1,3
"Pocket gopher",1,1,0,1,3
"Kangaroo rat",1,1,0,1,3
"Pack rat",1,1,0,0,3
"Field mouse",1,1,0,0,3
"Muskrat",1,1,0,0,3
"Black rat",1,1,0,0,3
"House mouse",1,1,0,0,3
"Porcupine",1,1,0,1,3
"Guinea pig",1,1,0,1,3
"Coyote",1,3,1,4,3
"Wolf",3,3,1,4,2
"Fox",3,3,1,4,2
"Bear",3,3,1,4,2
"Civet cat",3,3,1,4,2
"Raccoon",3,3,1,4,3
"Marten",3,3,1,4,1
"Fisher",3,3,1,4,1
"Weasel",3,3,1,3,1
"Mink",3,3,1,3,1
"Ferrer",3,3,1,3,1
"Wolverine",3,3,1,4,1
"Badger",3,3,1,3,1
"Skunk",3,3,1,3,1
"River otter",3,3,1,4,1
"Sea otter",3,2,1,3,1
"Jaguar",3,3,1,3,1
"Ocelot",3,3,1,3,1
"Cougar",3,3,1,3,1
"Lynx",3,3,1,3,1
"Fur seal",3,2,1,4,1
"Sea lion",3,2,1,4,1
"Walrus",1,0,1,3,0
"Grey seal",3,2,1,3,2
"Elephant seal",2,1,1,4,1
"Peccary",2,3,1,3,3
"Elk",0,4,1,3,3
"Deer",0,4,0,3,3
"Moose",0,4,0,3,3
"Reindeer",0,4,1,3,3
"Antelope",0,4,0,3,3
"Bison",0,4,0,3,3
"Mountain goat",0,4,0,3,3
"Musk ox",0,4,0,3,3
"Mountain sheep",0,4,0,3,3
